track,artist,album,streams,first,love,days_to_love,kind,peak_month,peak_month_streams,burst30,last,years
No Matter What,T.I.,Paper Trail,203,2019-05-14,2019-05-22,8,Quick rise,2025-08,70,71,2025-10-12,7
Streets of Philadelphia,Bruce Springsteen,PHILADELPHIA - Music From The Motion Picture,185,2018-04-28,2018-10-26,181,Slow burn,2021-10,52,52,2026-02-02,9
Hallelujah - Fragments [Single Version],John Cale,Hallelujah,177,2016-11-14,2021-10-18,1799,Late rediscovery,2023-10,57,58,2026-02-02,10
Forever,Drake,More Than A Game,174,2016-01-05,2016-01-06,1,Instant love,2016-01,21,24,2025-10-12,8
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,Chopin: Nocturnes,173,2018-02-02,2019-01-23,355,Slow burn,2021-10,20,20,2025-07-29,8
Photograph,Arcade Fire,Her (Original Score),173,2021-03-27,2021-04-02,6,Instant love,2026-04,87,106,2026-07-20,4
Put Your Money on Me,Arcade Fire,Everything Now,164,2017-07-29,2021-05-13,1384,Late rediscovery,2021-05,130,131,2026-08-12,7
Lose Yourself,Eminem,Curtain Call: The Hits,160,2016-02-19,2016-06-24,126,Slow burn,2016-09,13,15,2026-06-27,11
Première Gymnopédie,Erik Satie,Satie: Avant-dernières pensées,160,2017-03-15,2017-06-08,85,Slow burn,2018-02,13,13,2026-01-26,9
Hévenu Shalom Aléchem,Barcelona Gipsy Klezmer Orchestra,Imbarca,155,2016-06-02,2017-06-09,372,Late rediscovery,2023-12,18,19,2026-03-10,10
God's Plan,Q.Z.B,God's Plan,155,2019-10-28,2019-10-30,2,Instant love,2019-11,37,40,2025-10-12,7
"No Hearts, No Love (& Metro Boomin)",Big Sean,Double Or Nothing (& Metro Boomin),154,2019-05-29,2019-06-02,4,Instant love,2019-10,29,29,2026-04-02,8
We're All Leaving,Arcade Fire,Her (Original Score),154,2021-03-27,2021-04-02,6,Instant love,2026-04,82,101,2026-07-20,4
Dead And Gone,T.I.,Paper Trail,152,2017-11-26,2017-11-27,1,Instant love,2025-08,36,36,2026-03-21,10
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),152,2019-04-08,2022-03-22,1079,Late rediscovery,2025-08,62,62,2026-09-03,8
Take Us Out,Jerry Goldsmith,Rudy,151,2016-07-18,2016-08-06,19,Quick rise,2016-08,43,43,2022-10-12,6
You,Cam Meekins,Lamp City,149,2018-09-30,2018-10-02,2,Instant love,2025-08,29,29,2026-05-25,8
exile (feat. Bon Iver),Taylor Swift,folklore,148,2020-12-12,2022-03-29,472,Late rediscovery,2022-03,23,43,2025-12-05,6
Pat Earrings,CASISDEAD,Pat Earrings,144,2019-01-14,2019-01-15,1,Instant love,2019-01,51,55,2020-12-04,2
Shelter from the Storm,Bob Dylan,Blood On The Tracks,142,2015-12-26,2016-01-04,9,Quick rise,2020-04,23,23,2026-03-10,11
You Ain't Missin' Nothing,T.I.,Paper Trail,141,2017-11-27,2018-01-22,56,Slow burn,2025-08,21,23,2026-08-19,8
A Fond Farewell,Elliott Smith,From A Basement On The Hill,140,2023-05-03,2023-05-29,26,Quick rise,2023-10,60,61,2026-02-02,4
Forgot About Dre,Dr. Dre,2001,139,2016-01-02,2017-08-01,577,Late rediscovery,2021-09,10,12,2026-03-30,11
Good News,Mac Miller,Circles,136,2020-01-19,2020-01-24,5,Instant love,2020-04,51,54,2026-09-03,5
Dreams - 2004 Remaster,Fleetwood Mac,Rumours,136,2020-04-06,2020-10-23,200,Slow burn,2020-11,18,32,2026-08-06,7
abcdefu,GAYLE,abcdefu,136,2021-12-02,2021-12-14,12,Quick rise,2021-12,51,62,2026-03-15,5
Right Above It,Lil Wayne,I Am Not A Human Being,135,2016-08-21,2016-09-25,35,Slow burn,2016-09,54,56,2025-10-03,9
Time Is On My Side - Mono Version,The Rolling Stones,The Rolling Stones No. 2,135,2020-07-22,2020-07-22,0,Instant love,2020-07,125,125,2023-09-12,3
No Love,Eminem,Recovery,133,2012-06-07,2017-03-29,1756,Late rediscovery,2025-08,21,25,2026-06-28,13
Whatever You Like,T.I.,Paper Trail,132,2017-08-02,2018-08-08,371,Late rediscovery,2025-08,40,41,2026-03-21,10
"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",Frédéric Chopin,"Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",132,2018-04-05,2020-03-30,725,Late rediscovery,2022-06,9,12,2026-02-20,8
All The Small Things,Scott Bradlee's Postmodern Jukebox,Fake Blues,131,2022-03-03,2022-03-04,1,Instant love,2022-03,42,50,2026-04-03,5
Skinny Love,Bon Iver,"For Emma, Forever Ago",130,2016-01-19,2016-02-23,35,Slow burn,2016-02,49,63,2021-08-22,6
Nice For What,Drake,Scorpion,130,2018-07-21,2018-08-22,32,Slow burn,2019-10,15,23,2026-08-19,9
Juicy - 2005 Remaster,The Notorious B.I.G.,Ready to Die,128,2016-04-10,2016-04-19,9,Quick rise,2016-09,7,8,2026-03-29,10
Guilty,George Shearing,The Shearing Piano,128,2016-08-22,2016-08-26,4,Instant love,2016-08,11,12,2026-01-10,10
Crown of Love,Arcade Fire,Funeral,128,2020-02-16,2021-04-22,431,Late rediscovery,2021-11,49,52,2025-07-10,5
98 Freestyle,Big L,The Big Picture,126,2016-07-21,2016-07-22,1,Instant love,2016-07,22,38,2020-06-16,5
I Luv It,Jeezy,The Inspiration,125,2016-07-21,2016-07-23,2,Instant love,2016-08,31,44,2025-10-12,9
Call My Name,HAERTS,HAERTS,125,2020-12-29,2021-01-02,4,Instant love,2022-03,23,24,2025-10-12,6
Making Love Out of Nothing at All,Air Supply,All Out Of Love,125,2021-10-18,2021-10-18,0,Instant love,2021-10,50,50,2026-03-15,6
Toxic,BoyWithUke,Toxic,125,2021-11-05,2021-12-15,40,Slow burn,2021-12,40,49,2026-03-15,6
"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto (Excerpt)",Ludwig van Beethoven,Classical Chillout,124,2020-02-29,2021-09-28,577,Late rediscovery,2021-10,112,113,2021-11-21,2
100 (feat. Drake),The Game,The Documentary 2,122,2015-12-22,2015-12-26,4,Instant love,2016-08,16,19,2020-04-16,6
Hate It Or Love It,The Game,The Documentary,122,2016-01-30,2016-06-10,132,Slow burn,2020-12,7,9,2026-07-21,10
If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,It Was Written,120,2015-12-21,2015-12-28,7,Instant love,2026-06,6,8,2026-08-16,12
"Nocturne en Mi Bémol Majeur, Op. 9 No. 2",Frédéric Chopin,"Chopin: Nocturnes, Vol. 1",119,2017-05-10,2019-01-28,628,Late rediscovery,2022-06,10,12,2025-07-28,9
Birthday Song,James Murphy,Greenberg Original Motion Picture Soundtrack,119,2017-06-15,2026-04-22,3233,Late rediscovery,2026-04,82,101,2026-08-13,4
Circles,Post Malone,Hollywood's Bleeding,118,2019-09-18,2019-09-18,0,Instant love,2019-10,19,22,2025-12-07,7
"Hang Me, Oh Hang Me",Dave Van Ronk,Inside Dave Van Ronk,118,2020-01-05,2020-04-11,97,Slow burn,2026-04,40,55,2026-08-13,5
Tha Crossroads,Cold Chilling Collective,Cold Chilling - Compton,117,2022-10-13,2022-11-17,35,Slow burn,2025-08,69,69,2026-07-21,5
"Comptine d'un autre été, l'après-midi",Yann Tiersen,Amélie,116,2017-05-01,2017-05-18,17,Quick rise,2019-02,13,13,2021-11-08,5
Photographs - Piano,James Murphy,Greenberg Original Motion Picture Soundtrack,115,2017-06-15,2026-04-22,3233,Late rediscovery,2026-04,79,98,2026-07-20,5
Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon,115,2020-07-04,2020-10-26,114,Slow burn,2021-12,16,20,2025-08-11,6
"Nocturne No. 19 in E Minor, Op. 72, No. 1",Frédéric Chopin,"Benjamin Grosvenor: Chopin, Liszt, Ravel",113,2018-09-23,2019-02-13,143,Slow burn,2021-06,7,9,2025-07-29,8
Satie / Orch. Ducros: Gymnopédie No. 1,Erik Satie,Emotions,113,2021-04-15,2021-06-16,62,Slow burn,2021-10,96,99,2023-02-25,3
Send Me on My Way (Acoustic),Colin & Caroline,Send Me on My Way (Acoustic),113,2021-12-14,2021-12-14,0,Instant love,2022-03,24,35,2023-06-20,3
Jimmy Cooks (feat. 21 Savage),Drake,"Honestly, Nevermind",113,2022-06-17,2022-06-17,0,Instant love,2022-06,23,30,2026-09-03,5
Lifestyles of the Rich & Famous,Good Charlotte,The Young and The Hopeless,112,2016-07-07,2022-02-27,2061,Late rediscovery,2022-03,23,34,2026-03-15,8
"Triumph (feat. Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah & Raekwon)",Wu-Tang Clan,Wu-Tang Forever,111,2015-12-26,2017-06-09,531,Late rediscovery,2017-06,35,35,2026-08-16,10
ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,111,2020-04-29,2020-05-09,10,Quick rise,2020-05,11,14,2026-08-19,7
Hallelujah,Jeff Buckley,Grace,110,2016-05-18,2016-06-10,23,Quick rise,2021-10,16,16,2025-09-22,8
Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,109,2019-10-25,2019-11-21,27,Quick rise,2019-11,44,55,2023-09-08,5
What's My Age Again?,blink-182,Enema Of The State,107,2019-05-26,2019-10-01,128,Slow burn,2019-10,34,34,2025-10-13,7
Dispute,Yann Tiersen,The Lighthouse,106,2016-08-06,2016-08-26,20,Quick rise,2016-08,12,15,2020-01-01,5
Good Times,Styles P,A Gangster And A Gentleman,106,2017-10-21,2018-09-05,319,Slow burn,2019-03,9,9,2025-10-08,9
Despacito - Remix,Luis Fonsi,Despacito Feat. Justin Bieber,105,2017-04-19,2017-05-03,14,Quick rise,2021-09,14,22,2025-10-12,8
Антисемиты,Владимир Высоцкий,"Формулировка (Весь Высоцкий, том 2)",105,2022-07-07,2022-07-13,6,Instant love,2022-07,22,28,2025-08-11,4
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,"Beethoven: Piano Sonatas, Vol.3",104,2016-06-21,2018-10-26,857,Late rediscovery,2018-11,6,8,2024-08-25,9
The Middle,Jimmy Eat World,Bleed American,104,2020-07-21,2020-07-26,5,Instant love,2021-12,29,39,2025-08-02,6
It's a Heartache,Bonnie Tyler,Natural Force,104,2021-10-11,2021-10-18,7,Instant love,2021-10,68,68,2022-04-13,2
Grillz,Nelly,Sweatsuit,103,2016-06-03,2016-06-19,16,Quick rise,2017-07,18,25,2025-10-03,8
Multiply (feat. Juicy J),A$AP Rocky,Multiply (feat. Juicy J),102,2015-12-30,2016-01-02,3,Instant love,2016-03,13,17,2023-09-07,9
Hallelujah,The Game,Jesus Piece,102,2015-12-30,2020-11-29,1796,Late rediscovery,2025-08,42,42,2026-08-16,9
Sandra’s Rose,Drake,Scorpion,102,2018-08-20,2019-10-08,414,Late rediscovery,2019-10,21,25,2025-08-03,8
Seventeen Going Under,Sam Fender,Seventeen Going Under,102,2021-10-10,2021-12-15,66,Slow burn,2021-12,26,35,2026-03-15,6
Wagon Wheel,Darius Rucker,True Believers,101,2015-12-29,2016-09-27,273,Slow burn,2016-09,19,21,2026-06-27,10
"Vedrai, vedrai",Luigi Tenco,Italia Amore Mio,101,2019-02-25,2019-05-02,66,Slow burn,2022-07,32,32,2023-01-28,5
Let It Be,Dyme Def,Space Music,101,2026-02-04,2026-02-12,8,Quick rise,2026-04,65,65,2026-08-16,1
Fur Elise,Ludwig van Beethoven,50 Piano Classics,100,2016-01-31,2021-07-07,1984,Late rediscovery,2021-07,92,93,2021-09-11,2
Les Jours tristes - Instrumental,Yann Tiersen,Amélie,100,2017-04-09,2017-05-09,30,Quick rise,2018-11,11,13,2021-11-08,5
Heart Of The City (Ain't No Love),JAY-Z,The Blueprint,100,2019-12-06,2020-01-03,28,Quick rise,2026-06,12,14,2026-09-03,8
Despacito,Luis Fonsi,VIDA,100,2020-09-27,2021-08-22,329,Slow burn,2021-12,16,23,2026-03-15,7
Für Elise,Ludwig van Beethoven,Classical Best Of,100,2021-09-15,2021-09-16,1,Instant love,2022-09,42,42,2024-01-15,4
Young G's (feat. The Notorious B.I.G. & Jay-Z),Diddy,No Way Out,99,2016-04-08,2016-04-14,6,Instant love,2020-03,9,14,2026-07-21,11
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,Bach: Unaccompanied Cello Suites,99,2018-08-06,2018-11-05,91,Slow burn,2018-11,11,11,2025-10-08,8
Fields Of Gold,Eva Cassidy,Songbird,99,2019-06-29,2019-10-24,117,Slow burn,2023-12,16,25,2026-03-10,6
Renegade,JAY-Z,The Blueprint,99,2019-12-06,2020-01-03,28,Quick rise,2021-09,7,7,2026-06-28,8
Many Men (Wish Death),50 Cent,Get Rich Or Die Tryin',98,2016-04-15,2016-06-02,48,Slow burn,2016-06,10,12,2026-09-03,10
"Nocturne No. 1 in B-Flat Minor, Op. 9 No. 1",Frédéric Chopin,Chopin: Nocturnes,97,2020-03-28,2021-06-09,438,Late rediscovery,2022-06,14,14,2025-07-29,6
La valse d'Amélie,Yann Tiersen,Amélie,96,2017-04-09,2017-05-09,30,Quick rise,2017-07,10,13,2021-11-08,5
Cold Heart - PNAU Remix,Elton John,The Lockdown Sessions,96,2021-10-25,2021-11-05,11,Quick rise,2021-12,39,51,2023-10-18,3
rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,95,2018-05-04,2018-09-20,139,Slow burn,2019-01,9,10,2026-06-27,9
Il cielo en una stanza,Mina,Italia Amore Mio,95,2019-05-02,2020-04-22,356,Slow burn,2022-07,36,36,2023-01-22,5
Big Poppa - 2005 Remaster,The Notorious B.I.G.,Ready to Die,94,2016-04-10,2016-04-18,8,Quick rise,2016-04,6,9,2026-03-29,11
The Kids Aren't Alright,The Offspring,Americana,94,2022-03-14,2022-10-24,224,Slow burn,2023-11,16,21,2026-08-16,5
