track,artist,album,streams,years,last,away_days,away_years
Gives You Hell,The All-American Rejects,When The World Comes Down,75,5,2022-03-19,1630,4.5
Amelie - Piano Solo,Dmytro Morykit,Amelie - Piano Solo,74,3,2018-05-14,3035,8.3
"Chopin: Piano Sonata No. 1 in C Minor, Op. 4: I. Allegro maestoso",Frédéric Chopin,"Chopin: Piano Sonatas Nos. 1 - 3, Mazurkas, Op. 17 & Études",72,7,2025-07-29,402,1.1
No Role Modelz,J. Cole,2014 Forest Hills Drive,72,3,2024-09-25,709,1.9
You Ain't Missin' Nothing,T.I.,Paper Trail,71,3,2017-04-02,3442,9.4
"Amélie Theme (Comptine D'un Autre Été) [From ""Le Fabuleux Destin D'amélie Poulain""]",Pianoramix,Crazy in Love (Emotional Movie Soundtrack Songs on the Piano),71,4,2022-10-07,1428,3.9
Rondo Alla Turca,PM Artist Sessions Project,Mozart for the Mind,71,8,2023-08-28,1103,3.0
Thru and Thru - Remastered,The Rolling Stones,Voodoo Lounge,70,5,2020-11-22,2112,5.8
J'y suis jamais allé - From ''Amelie'',Mercuzio Pianist,J'y suis jamais allé (From ''Amelie''),70,6,2024-05-01,856,2.3
A quai,Yann Tiersen,Amélie,70,5,2021-11-08,1761,4.8
La valse d'Amélie - Version orchestre,Yann Tiersen,Amélie,70,5,2021-11-08,1761,4.8
From The D To The A (feat. Lil Yachty),Tee Grizzley,From The D To The A (feat. Lil Yachty),70,6,2025-08-06,394,1.1
"Nocturne No. 6 in G Minor, Op. 15 No. 3",Frédéric Chopin,Chopin: Nocturnes,70,6,2025-07-29,402,1.1
"Chopin: Berceuse in D-Flat Major, Op. 57",Frédéric Chopin,"Chopin: 24 Préludes, Barcarolle, Berceuse & Variations brillantes",69,8,2025-07-29,402,1.1
Ric Flair Drip (with Metro Boomin),Offset,Without Warning,69,5,2022-03-15,1634,4.5
Levitating (feat. DaBaby),Dua Lipa,Future Nostalgia,69,3,2022-10-12,1423,3.9
It's a Heartache,Bonnie Tyler,Natural Force,69,3,2024-10-11,693,1.9
I'm Different,2 Chainz,Based On A T.R.U. Story - Deluxe,68,5,2020-06-12,2275,6.2
Damn It Feels Good to Be a Gangsta,Geto Boys,Uncut Dope,68,6,2023-09-27,1073,2.9
Carnival,Natalie Merchant,Tigerlily,68,5,2022-10-07,1428,3.9
