artist,plays,hours,first,last,span_days,peak_year,peak_plays,concentration,tracks,years_active
CASISDEAD,303,18.3,2019-01-14,2026-04-02,2635,2019,215,71.0,24,8
Bedtime Baby,301,8.9,2016-08-25,2020-03-15,1298,2018,279,92.7,2,4
Felix Mendelssohn,293,20.0,2016-06-11,2026-01-10,3500,2022,102,34.8,124,11
James Murphy,293,9.3,2017-06-15,2026-08-13,3346,2026,234,79.9,11,5
The Strokes,292,17.1,2016-09-16,2024-04-07,2760,2020,87,29.8,63,8
Bob James,292,24.0,2018-03-20,2025-08-01,2691,2023,98,33.6,19,8
Jeff Buckley,288,28.1,2012-06-07,2025-10-13,4876,2023,113,39.2,39,11
Edvard Grieg,288,17.8,2016-01-03,2025-08-03,3500,2021,85,29.5,101,10
George Frideric Handel,282,19.1,2016-01-03,2026-01-10,3660,2021,87,30.9,122,11
Pop Smoke,282,13.5,2020-07-04,2026-03-15,2080,2020,134,47.5,46,7
P!nk,279,16.8,2015-12-30,2025-08-19,3520,2025,79,28.3,78,9
Air Supply,276,21.8,2016-05-26,2026-03-15,3580,2022,102,37.0,46,10
Anya Marina,268,15.6,2019-10-25,2026-06-23,2433,2025,85,31.7,11,8
Yusuf / Cat Stevens,267,12.6,2017-06-25,2025-06-11,2908,2023,142,53.2,21,8
The Clash,265,14.9,2016-06-30,2025-08-21,3339,2019,143,54.0,168,10
Simon & Garfunkel,260,13.4,2016-07-30,2026-05-21,3582,2023,101,38.8,39,11
Obadiah Parker,258,18.8,2016-05-31,2026-04-01,3592,2025,81,31.4,10,10
Dmitri Shostakovich,257,21.9,2016-01-03,2025-07-29,3495,2022,115,44.7,129,10
Nick Drake,253,11.3,2011-08-28,2024-08-19,4740,2023,105,41.5,28,10
Zbigniew Preisner,249,9.4,2016-08-13,2023-11-23,2658,2019,160,64.3,112,6
Ed Sheeran,248,13.0,2016-03-27,2025-12-07,3542,2021,120,48.4,68,9
Camille Saint-Saëns,247,15.3,2016-01-28,2025-08-05,3477,2021,67,27.1,78,10
Olivia Rodrigo,243,11.8,2021-01-13,2025-12-07,1789,2021,160,65.8,24,5
Cam Meekins,242,14.4,2018-09-30,2026-06-25,2825,2026,75,31.0,41,8
Big Pun,239,13.4,2016-04-20,2026-06-21,3714,2020,60,25.1,42,10
Adele,237,13.2,2015-12-28,2026-02-03,3690,2021,109,46.0,38,11
Jeroxzy,233,15.5,2016-07-22,2023-08-30,2595,2016,120,51.5,1,8
Outkast,232,15.0,2015-12-30,2026-07-21,3856,2023,48,20.7,29,12
R. Kelly,232,15.7,2015-12-30,2025-10-12,3574,2017,54,23.3,53,11
Alexander Scriabin,232,13.9,2016-02-04,2025-07-29,3463,2016,74,31.9,73,9
Antonio Vivaldi,232,11.6,2016-05-07,2026-02-20,3576,2021,65,28.0,88,10
Michael Giacchino,228,13.7,2017-04-12,2025-10-07,3100,2022,193,84.6,47,7
Wale,226,14.8,2016-02-19,2026-06-28,3782,2017,93,41.2,43,9
Green Day,223,11.3,2011-09-29,2025-10-13,5128,2023,57,25.6,48,11
Dashboard Confessional,223,10.7,2016-06-15,2023-02-08,2429,2020,59,26.5,72,8
UGK,220,16.9,2016-04-20,2026-05-06,3668,2019,51,23.2,28,10
Luis Fonsi,219,12.8,2017-04-19,2026-03-15,3252,2021,80,36.5,7,9
Jeezy,218,13.1,2016-02-19,2026-06-25,3779,2016,67,30.7,32,11
Barcelona Gipsy Klezmer Orchestra,216,10.2,2016-06-02,2026-03-10,3568,2022,53,24.5,22,10
The Kinks,215,11.6,2011-09-29,2026-03-10,5276,2016,80,37.2,22,11
Future,214,10.9,2016-02-19,2026-06-17,3771,2020,95,44.4,67,11
Big Sean,212,12.5,2016-02-19,2026-04-02,3695,2019,100,47.2,26,11
The Offspring,210,9.8,2011-11-19,2026-08-16,5384,2022,84,40.0,31,10
Pyotr Ilyich Tchaikovsky,210,15.8,2016-01-03,2025-07-29,3495,2021,92,43.8,90,10
Harry Styles,210,10.0,2017-04-18,2026-08-06,3397,2022,144,68.6,31,9
Johnny Cash,208,11.4,2016-05-18,2025-10-12,3434,2023,53,25.5,41,10
Rolfe Kent,207,8.7,2017-02-16,2022-05-14,1913,2020,205,99.0,17,3
Nicki Minaj,205,11.9,2016-02-24,2026-08-19,3829,2023,50,24.4,68,11
Makaveli,205,14.6,2016-06-17,2026-04-16,3590,2022,43,21.0,19,10
Mobb Deep,204,13.3,2016-02-25,2026-04-07,3694,2020,51,25.0,20,11
The Velvet Underground,203,12.9,2016-01-07,2024-05-02,3038,2021,58,28.6,43,9
A Tribe Called Quest,203,11.4,2016-01-19,2026-04-20,3744,2023,52,25.6,51,10
Morgan Wallen,202,8.7,2020-10-26,2026-01-24,1916,2023,99,49.0,38,7
Natalie Merchant,201,15.3,2016-06-11,2024-07-16,2957,2016,106,52.7,34,8
Too $hort,200,15.0,2016-04-20,2026-04-20,3652,2019,54,27.0,47,11
Ludovico Einaudi,200,16.6,2016-06-25,2026-02-20,3527,2020,44,22.0,77,11
Amy Winehouse,199,10.9,2016-01-07,2023-10-14,2837,2016,127,63.8,34,7
Lil Nas X,199,8.0,2019-03-24,2022-11-30,1347,2021,95,47.7,29,4
Solomon Burke,198,15.7,2016-02-24,2025-10-12,3518,2018,39,19.7,18,9
Talking Heads,194,12.4,2017-02-26,2026-05-21,3371,2023,156,80.4,62,10
Jerry Goldsmith,193,7.1,2016-07-18,2026-08-12,3677,2016,48,24.9,19,8
Ariana Grande,191,10.0,2016-06-29,2026-08-06,3690,2019,101,52.9,45,10
Billie Eilish,188,9.6,2018-05-04,2026-06-17,2966,2021,56,29.8,42,9
HAERTS,188,11.6,2020-12-29,2025-10-12,1748,2022,114,60.6,10,6
Bad Bunny,187,8.9,2018-02-20,2026-08-06,3089,2022,133,71.1,34,8
Fat Joe,186,12.6,2016-06-01,2026-08-19,3731,2020,55,29.6,22,11
ABBA,185,9.2,2011-09-29,2023-10-14,4398,2021,142,76.8,43,5
Gucci Mane,185,9.4,2016-07-07,2025-12-21,3454,2017,91,49.2,59,10
BoyWithUke,184,8.4,2021-11-05,2026-03-15,1591,2022,124,67.4,30,6
John Cale,183,13.9,2016-11-14,2026-02-02,3367,2023,85,46.4,4,10
Dead Prez,182,10.1,2015-12-22,2026-04-20,3772,2016,126,69.2,37,9
Marvin Gaye,182,10.1,2016-03-07,2024-09-01,3100,2016,87,47.8,58,9
Justin Bieber,179,8.3,2015-12-28,2026-08-06,3874,2021,77,43.0,26,11
The Postal Service,178,12.5,2015-12-30,2026-01-13,3667,2021,87,48.9,39,10
Macklemore & Ryan Lewis,178,11.8,2016-02-25,2025-10-12,3517,2018,47,26.4,14,9
Johann Pachelbel,178,13.9,2019-03-20,2024-01-15,1762,2022,68,38.2,35,6
Ricky Nelson,176,9.0,2015-12-21,2025-10-03,3574,2016,56,31.8,41,10
Max Richter,175,8.0,2016-06-25,2026-02-20,3527,2022,38,21.7,58,10
DaBaby,175,7.4,2019-06-22,2026-08-19,2615,2021,70,40.0,17,8
Rod Stewart,174,11.2,2016-07-25,2024-09-26,2985,2016,98,56.3,61,9
Geto Boys,172,11.9,2016-03-27,2026-08-16,3794,2019,88,51.2,28,9
The Killers,172,10.1,2016-06-25,2026-08-06,3694,2021,87,50.6,52,10
Birdy,171,9.5,2016-02-23,2025-12-05,3573,2016,110,64.3,22,8
Paul Mooney,168,7.6,2016-07-07,2017-12-05,516,2017,129,76.8,81,2
Blues Traveler,168,11.5,2016-07-31,2025-10-02,3350,2018,73,43.5,12,10
Kid Cudi,167,9.2,2015-12-30,2026-08-19,3885,2021,43,25.7,40,11
DMX,167,10.0,2016-06-01,2026-08-07,3719,2021,43,25.7,67,11
awfultune,167,7.2,2021-12-09,2025-08-11,1341,2022,149,89.2,22,5
Gabriel Fauré,166,10.4,2016-08-08,2026-01-10,3442,2021,36,21.7,73,11
Coolio,165,9.9,2016-06-01,2026-04-12,3602,2018,55,33.3,19,11
Scott Bradlee's Postmodern Jukebox,165,9.0,2022-03-03,2026-04-03,1492,2022,99,60.0,16,5
The Smashing Pumpkins,163,10.2,2016-01-02,2025-11-03,3593,2023,35,21.5,18,10
Joseph Haydn,162,13.6,2016-01-19,2023-06-20,2709,2016,48,29.6,66,8
Willi Tokarev,161,8.6,2016-04-28,2025-08-02,3383,2017,69,42.9,67,8
Antonín Dvořák,160,16.5,2018-01-10,2024-08-25,2419,2022,92,57.5,110,7
Dua Lipa,159,7.5,2017-10-13,2024-08-19,2502,2021,85,53.5,28,8
Q.Z.B,159,8.5,2019-10-28,2025-10-12,2176,2019,50,31.4,3,7
Roger Williams,158,7.8,2021-10-27,2023-09-05,678,2021,62,39.2,57,3
Sabrina Carpenter,157,7.0,2016-06-07,2026-06-24,3669,2024,144,91.7,27,6
Rakim,156,9.0,2017-10-21,2026-03-31,3083,2019,37,23.7,10,10
Jann Arden,154,9.9,2016-07-20,2024-10-11,3005,2022,75,48.7,34,6
Jean Sibelius,153,8.8,2016-01-19,2025-07-29,3479,2016,66,43.1,46,7
Jon Brion,153,4.5,2021-11-08,2026-02-20,1565,2022,133,86.9,61,5
Pixies,152,7.1,2016-05-09,2025-11-03,3465,2020,69,45.4,38,10
Rain Sounds,152,3.9,2016-07-26,2023-11-28,2681,2016,146,96.1,42,2
Anton Rubinstein,152,15.5,2020-07-26,2022-09-23,789,2021,148,97.4,34,3
Fleet Foxes,151,7.3,2012-06-07,2025-12-06,4930,2021,38,25.2,27,10
Lady Gaga,150,7.6,2016-04-27,2026-02-13,3579,2019,44,29.3,31,11
Colin & Caroline,149,7.5,2017-03-23,2026-03-28,3292,2022,97,65.1,16,7
TLC,146,9.3,2015-12-30,2025-09-23,3555,2017,75,51.4,20,11
Warren G,145,8.1,2016-05-13,2026-04-02,3611,2023,29,20.0,23,11
Snoop Dogg,144,7.8,2016-02-25,2026-08-13,3822,2016,63,43.8,60,11
GAYLE,143,6.2,2021-12-02,2026-03-15,1564,2022,77,53.8,4,5
George Shearing,142,7.5,2016-08-22,2026-01-10,3428,2017,45,31.7,3,10
Cam'ron,141,7.5,2015-12-22,2026-06-23,3836,2017,32,22.7,33,10
Robyn,141,9.7,2016-06-02,2026-04-01,3590,2021,45,31.9,12,9
